INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-15 20:56:54', 46);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-07 20:56:54', 26);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-23 20:56:54', 12);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-17 20:56:54', 1);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-06 20:56:54', 29);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-28 20:56:54', 44);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-19 20:56:54', 45);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-12 20:56:54', 5);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-23 20:56:54', 7);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-28 20:56:54', 47);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-23 20:56:54', 2);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-29 20:56:54', 44);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-14 20:56:54', 28);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-08 20:56:54', 47);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-15 20:56:54', 11);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-20 20:56:54', 7);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-17 20:56:54', 4);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-09 20:56:54', 30);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-14 20:56:54', 17);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-10 20:56:54', 22);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-14 20:56:54', 5);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-10 20:56:54', 48);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-21 20:56:54', 32);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-13 20:56:54', 23);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-22 20:56:54', 15);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-07 20:56:54', 2);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-05 20:56:54', 5);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-21 20:56:54', 23);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-21 20:56:54', 34);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-20 20:56:54', 8);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-13 20:56:54', 12);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-16 20:56:54', 32);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-28 20:56:54', 11);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-19 20:56:54', 5);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-05 20:56:54', 24);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-19 20:56:54', 12);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-07 20:56:54', 10);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-17 20:56:54', 36);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-12 20:56:54', 15);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-19 20:56:54', 15);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-01 20:56:54', 11);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-02 20:56:54', 39);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-30 20:56:54', 45);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-03 20:56:54', 48);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-15 20:56:54', 24);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-28 20:56:54', 1);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-11 20:56:54', 24);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-19 20:56:54', 50);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-02 20:56:54', 48);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-26 20:56:54', 16);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-18 20:56:54', 8);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-03 20:56:54', 40);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-29 20:56:54', 38);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-15 20:56:54', 10);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-30 20:56:54', 48);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-18 20:56:54', 23);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-09-20 20:56:54', 15);
INSERT INTO tb_log_acessos (data_login, fk_usuario) VALUES ('2023-10-05 20:56:54', 28);
